年齢,学歴,職業,人種,性別,週労働時間,出身国,収入
29, 12th, Transport-moving, White, Male,40, United-States, >50K
32, 10th, Machine-op-inspct, White, Male,40, Mexico, <=50K
22, Some-college, Craft-repair, White, Male,40, United-States, <=50K
30, HS-grad, Adm-clerical, Black, Female,50, United-States, <=50K
43, Some-college, Adm-clerical, White, Female,40, United-States, <=50K
23, Bachelors, Other-service, White, Male,20, United-States, <=50K
44, Prof-school, Prof-specialty, White, Male,40, United-States, >50K
41, Bachelors, Other-service, White, Male,40, United-States, <=50K
49, Masters, Prof-specialty, Black, Female,40, United-States, >50K
30, HS-grad, Transport-moving, White, Male,45, United-States, >50K
23, Some-college, Handlers-cleaners, White, Male,35, United-States, <=50K
39, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
32, Bachelors, Sales, White, Male,60, United-States, >50K
50, Some-college, Craft-repair, White, Male,35, United-States, >50K
19, Some-college, Adm-clerical, White, Female,40, Puerto-Rico, <=50K
35, Bachelors, Sales, White, Male,52, United-States, >50K
23, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
25, Some-college, Craft-repair, White, Male,40, United-States, <=50K
40, HS-grad, Sales, White, Female,40, United-States, <=50K
30, Bachelors, Exec-managerial, Black, Male,42, United-States, >50K
52, Some-college, Craft-repair, White, Male,40, United-States, >50K
49, Some-college, Machine-op-inspct, Black, Male,60, United-States, <=50K
24, Bachelors, Adm-clerical, White, Female,40, United-States, <=50K
46, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
39, Bachelors, Sales, White, Male,50, United-States, >50K
45, Bachelors, Exec-managerial, White, Male,50, United-States, >50K
62, Bachelors, Adm-clerical, White, Female,38, United-States, <=50K
43, Bachelors, Prof-specialty, White, Male,50, United-States, >50K
45, Some-college, Machine-op-inspct, White, Female,40, United-States, <=50K
62, HS-grad, Sales, White, Male,40, United-States, <=50K
48, 5th-6th, Handlers-cleaners, White, Male,40, Mexico, <=50K
56, HS-grad, Other-service, Black, Female,40, Jamaica, <=50K
28, HS-grad, Farming-fishing, White, Female,35, United-States, <=50K
23, HS-grad, Craft-repair, Black, Male,40, United-States, <=50K
43, HS-grad, Other-service, White, Female,35, United-States, <=50K
26, Bachelors, Craft-repair, White, Male,40, United-States, >50K
36, HS-grad, Sales, White, Male,50, United-States, >50K
55, Doctorate, Prof-specialty, White, Female,60, United-States, <=50K
48, Bachelors, Exec-managerial, White, Female,50, United-States, <=50K
38, Assoc-voc, Exec-managerial, White, Male,45, United-States, >50K
18, HS-grad, Sales, White, Male,30, United-States, <=50K
56, HS-grad, Exec-managerial, White, Male,70, United-States, <=50K
39, Masters, Prof-specialty, White, Male,40, United-States, <=50K
46, 5th-6th, Handlers-cleaners, White, Male,50, Mexico, <=50K
36, 11th, Transport-moving, Amer-Indian-Eskimo, Male,65, United-States, <=50K
42, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
50, HS-grad, Transport-moving, White, Male,50, United-States, >50K
17, 11th, Handlers-cleaners, White, Male,20, United-States, <=50K
57, 7th-8th, Machine-op-inspct, Black, Female,40, United-States, <=50K
73, HS-grad, Other-service, White, Female,12, United-States, <=50K
50, Some-college, Adm-clerical, White, Male,40, United-States, <=50K
35, Some-college, Transport-moving, White, Male,45, United-States, <=50K
27, Some-college, Machine-op-inspct, White, Male,45, United-States, <=50K
27, Some-college, Craft-repair, White, Male,40, United-States, <=50K
23, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
25, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
51, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
26, 10th, Adm-clerical, White, Female,40, United-States, <=50K
47, Some-college, Adm-clerical, White, Male,45, Mexico, <=50K
40, HS-grad, Other-service, Black, Male,40, United-States, <=50K
58, 9th, Other-service, White, Female,40, United-States, <=50K
25, Some-college, Sales, White, Female,40, United-States, <=50K
29, HS-grad, Sales, White, Female,18, United-States, <=50K
36, 11th, Transport-moving, White, Male,43, United-States, <=50K
46, HS-grad, Exec-managerial, White, Female,60, United-States, <=50K
69, 1st-4th, Priv-house-serv, Black, Female,4, United-States, <=50K
69, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
28, HS-grad, Other-service, Black, Female,40, United-States, <=50K
20, HS-grad, Adm-clerical, White, Male,48, United-States, <=50K
54, HS-grad, Adm-clerical, Black, Female,35, United-States, <=50K
25, Some-college, Transport-moving, White, Male,40, United-States, <=50K
64, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
17, HS-grad, Sales, White, Female,20, United-States, <=50K
53, HS-grad, Adm-clerical, White, Male,40, United-States, <=50K
50, 9th, Transport-moving, White, Male,50, United-States, <=50K
57, HS-grad, Exec-managerial, White, Female,38, United-States, <=50K
51, Some-college, Transport-moving, White, Male,40, United-States, <=50K
47, Some-college, Craft-repair, White, Male,40, United-States, <=50K
25, HS-grad, Transport-moving, White, Male,52, United-States, <=50K
50, Prof-school, Exec-managerial, White, Male,52, United-States, >50K
20, HS-grad, Adm-clerical, White, Female,30, United-States, <=50K
43, Prof-school, Prof-specialty, White, Male,70, United-States, >50K
46, Bachelors, Prof-specialty, White, Female,40, United-States, <=50K
54, HS-grad, Adm-clerical, White, Female,38, Puerto-Rico, <=50K
53, Some-college, Exec-managerial, Amer-Indian-Eskimo, Female,15, United-States, <=50K
21, HS-grad, Craft-repair, White, Male,30, United-States, <=50K
58, Some-college, Other-service, White, Male,40, United-States, <=50K
30, Bachelors, Sales, White, Male,55, United-States, >50K
61, HS-grad, Adm-clerical, Black, Female,40, United-States, <=50K
56, Some-college, Adm-clerical, White, Female,35, United-States, <=50K
59, HS-grad, Other-service, White, Female,40, United-States, <=50K
72, HS-grad, Handlers-cleaners, White, Male,20, United-States, <=50K
33, HS-grad, Adm-clerical, White, Male,40, United-States, <=50K
46, HS-grad, Adm-clerical, White, Female,40, United-States, >50K
46, Some-college, Protective-serv, White, Male,38, United-States, >50K
48, HS-grad, Prof-specialty, Black, Female,28, United-States, <=50K
33, HS-grad, Exec-managerial, White, Male,40, United-States, <=50K
21, Some-college, Handlers-cleaners, White, Female,40, United-States, <=50K
27, HS-grad, Adm-clerical, White, Female,45, United-States, <=50K
31, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
28, Bachelors, Machine-op-inspct, White, Male,40, United-States, <=50K
45, Some-college, Adm-clerical, White, Female,38, United-States, <=50K
51, HS-grad, Machine-op-inspct, White, Male,40, United-States, >50K
46, HS-grad, Other-service, Black, Female,40, United-States, <=50K
25, Some-college, Sales, White, Male,25, El-Salvador, <=50K
61, Some-college, Adm-clerical, White, Male,40, United-States, >50K
17, 11th, Sales, White, Female,30, United-States, <=50K
26, Bachelors, Craft-repair, White, Male,40, United-States, <=50K
35, 10th, Craft-repair, White, Male,60, United-States, <=50K
33, 11th, Exec-managerial, White, Male,70, United-States, <=50K
39, HS-grad, Adm-clerical, White, Female,35, United-States, <=50K
42, HS-grad, Other-service, White, Female,30, United-States, <=50K
35, Bachelors, Exec-managerial, White, Male,47, United-States, >50K
45, HS-grad, Tech-support, White, Female,50, United-States, >50K
47, Bachelors, Sales, White, Male,40, United-States, >50K
64, 11th, Craft-repair, White, Male,48, United-States, <=50K
39, Prof-school, Exec-managerial, White, Female,47, United-States, >50K
62, Bachelors, Prof-specialty, White, Male,40, United-States, >50K
53, Some-college, Prof-specialty, White, Male,40, United-States, >50K
31, Bachelors, Exec-managerial, White, Male,40, United-States, <=50K
26, HS-grad, Sales, White, Male,40, United-States, <=50K
56, 7th-8th, Craft-repair, White, Male,50, United-States, >50K
43, Some-college, Other-service, White, Female,40, United-States, <=50K
33, Some-college, Sales, Black, Male,35, United-States, <=50K
45, Some-college, Craft-repair, White, Male,40, United-States, >50K
46, Some-college, Sales, White, Male,55, United-States, <=50K
26, Assoc-voc, Handlers-cleaners, White, Male,80, United-States, <=50K
24, HS-grad, Other-service, White, Female,40, Mexico, <=50K
43, Bachelors, Farming-fishing, White, Male,50, United-States, >50K
40, Assoc-voc, Machine-op-inspct, White, Male,40, United-States, <=50K
61, 7th-8th, Other-service, White, Male,35, United-States, <=50K
34, Some-college, Adm-clerical, Black, Female,72, United-States, <=50K
85, HS-grad, Sales, White, Male,35, United-States, <=50K
41, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
31, Assoc-acdm, Adm-clerical, White, Female,35, United-States, <=50K
22, Some-college, Sales, White, Female,30, United-States, <=50K
60, HS-grad, Other-service, Black, Female,40, United-States, <=50K
29, Assoc-acdm, Prof-specialty, White, Female,36, United-States, <=50K
35, Bachelors, Exec-managerial, Asian-Pac-Islander, Female,45, United-States, <=50K
24, HS-grad, Sales, White, Male,30, United-States, <=50K
45, Masters, Prof-specialty, Black, Male,40, United-States, <=50K
21, 12th, Other-service, Black, Male,20, United-States, <=50K
30, Assoc-acdm, Transport-moving, White, Female,37, United-States, >50K
50, Some-college, Exec-managerial, White, Male,99, United-States, >50K
41, HS-grad, Exec-managerial, White, Male,40, United-States, >50K
21, HS-grad, Sales, White, Female,33, United-States, <=50K
45, HS-grad, Craft-repair, White, Male,45, United-States, <=50K
34, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
28, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
19, HS-grad, Other-service, White, Male,40, United-States, <=50K
26, Bachelors, Prof-specialty, White, Male,50, United-States, >50K
48, Bachelors, Transport-moving, White, Male,45, United-States, >50K
69, Bachelors, Prof-specialty, White, Male,40, United-States, >50K
41, Some-college, Adm-clerical, White, Female,40, United-States, <=50K
43, Bachelors, Adm-clerical, White, Female,40, United-States, <=50K
28, HS-grad, Craft-repair, White, Male,40, Mexico, <=50K
65, Some-college, Adm-clerical, White, Female,28, United-States, <=50K
31, Bachelors, Exec-managerial, White, Male,38, United-States, <=50K
28, Bachelors, Adm-clerical, White, Female,40, United-States, <=50K
51, Bachelors, Prof-specialty, White, Male,40, United-States, >50K
45, Some-college, Craft-repair, White, Female,80, United-States, <=50K
43, HS-grad, Adm-clerical, Black, Male,38, United-States, <=50K
31, Assoc-acdm, Sales, White, Male,60, United-States, <=50K
31, Some-college, Craft-repair, White, Male,55, United-States, >50K
45, Some-college, Craft-repair, Asian-Pac-Islander, Male,40, Philippines, <=50K
20, Bachelors, Sales, Black, Female,30, United-States, <=50K
25, Bachelors, Tech-support, White, Male,40, United-States, <=50K
36, HS-grad, Handlers-cleaners, White, Female,30, United-States, <=50K
31, Bachelors, Sales, White, Male,50, United-States, <=50K
56, Some-college, Craft-repair, White, Male,45, United-States, <=50K
26, Bachelors, Sales, White, Male,18, United-States, <=50K
47, Some-college, Exec-managerial, White, Female,65, United-States, <=50K
40, HS-grad, Exec-managerial, White, Male,50, United-States, <=50K
32, HS-grad, Exec-managerial, White, Female,48, United-States, <=50K
34, Masters, Prof-specialty, Black, Female,24, United-States, <=50K
37, HS-grad, Exec-managerial, White, Male,55, United-States, <=50K
38, HS-grad, Craft-repair, White, Male,45, United-States, <=50K
19, Assoc-voc, Other-service, Asian-Pac-Islander, Male,16, United-States, <=50K
49, 9th, Handlers-cleaners, White, Female,40, United-States, <=50K
26, Assoc-acdm, Prof-specialty, White, Female,40, United-States, <=50K
82, 7th-8th, Handlers-cleaners, White, Male,2, United-States, <=50K
40, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
28, Some-college, Craft-repair, White, Male,50, United-States, <=50K
23, HS-grad, Sales, Black, Male,37, United-States, <=50K
19, Some-college, Adm-clerical, White, Male,40, United-States, <=50K
67, HS-grad, Handlers-cleaners, Black, Male,32, United-States, <=50K
43, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
41, Assoc-acdm, Adm-clerical, Other, Female,50, United-States, <=50K
37, Assoc-voc, Prof-specialty, White, Female,40, United-States, <=50K
20, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
40, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
47, Masters, Exec-managerial, White, Male,50, United-States, >50K
40, HS-grad, Tech-support, White, Male,40, United-States, <=50K
39, Bachelors, Exec-managerial, White, Female,40, United-States, <=50K
24, Some-college, Adm-clerical, Black, Female,20, United-States, <=50K
49, Bachelors, Sales, White, Male,45, United-States, >50K
66, HS-grad, Machine-op-inspct, White, Male,10, United-States, <=50K
52, HS-grad, Prof-specialty, White, Female,40, United-States, <=50K
59, HS-grad, Exec-managerial, White, Male,60, United-States, <=50K
72, HS-grad, Priv-house-serv, White, Female,12, Cuba, <=50K
35, HS-grad, Adm-clerical, White, Male,40, United-States, <=50K
30, Bachelors, Exec-managerial, White, Female,40, United-States, >50K
36, Some-college, Other-service, White, Male,40, United-States, <=50K
26, HS-grad, Tech-support, White, Female,40, United-States, <=50K
23, Bachelors, Other-service, White, Male,35, United-States, <=50K
39, Bachelors, Prof-specialty, White, Male,40, United-States, >50K
40, Prof-school, Prof-specialty, White, Male,40, United-States, <=50K
29, Bachelors, Prof-specialty, White, Male,40, United-States, <=50K
38, Bachelors, Other-service, White, Male,20, United-States, <=50K
63, Bachelors, Adm-clerical, White, Male,40, United-States, <=50K
58, HS-grad, Exec-managerial, White, Male,40, United-States, >50K
30, HS-grad, Exec-managerial, White, Female,40, United-States, <=50K
38, HS-grad, Other-service, Black, Female,40, United-States, <=50K
25, 5th-6th, Adm-clerical, White, Female,33, Mexico, <=50K
44, Masters, Prof-specialty, White, Male,40, United-States, >50K
43, Assoc-voc, Adm-clerical, White, Female,40, United-States, >50K
21, Some-college, Transport-moving, White, Male,30, United-States, <=50K
41, Assoc-acdm, Exec-managerial, White, Male,40, United-States, <=50K
38, Bachelors, Sales, White, Male,50, United-States, >50K
29, Some-college, Craft-repair, White, Male,40, United-States, <=50K
52, HS-grad, Farming-fishing, White, Male,70, United-States, <=50K
47, HS-grad, Exec-managerial, White, Female,45, United-States, <=50K
28, Assoc-voc, Prof-specialty, White, Male,50, United-States, >50K
30, Masters, Prof-specialty, Asian-Pac-Islander, Male,10, China, <=50K
30, Some-college, Exec-managerial, White, Male,60, United-States, >50K
40, Assoc-acdm, Exec-managerial, White, Male,40, United-States, >50K
27, Some-college, Other-service, White, Female,30, United-States, <=50K
26, HS-grad, Protective-serv, White, Male,44, United-States, <=50K
32, HS-grad, Other-service, White, Male,37, United-States, <=50K
36, Bachelors, Adm-clerical, White, Female,40, United-States, <=50K
26, 12th, Transport-moving, Black, Male,40, United-States, <=50K
25, Some-college, Transport-moving, Black, Male,40, United-States, <=50K
39, Some-college, Tech-support, White, Female,40, Poland, <=50K
27, Assoc-voc, Tech-support, White, Male,40, United-States, <=50K
24, HS-grad, Farming-fishing, White, Male,50, United-States, <=50K
38, Bachelors, Sales, White, Male,40, United-States, >50K
35, HS-grad, Farming-fishing, White, Male,55, United-States, <=50K
29, Assoc-voc, Tech-support, White, Male,40, United-States, <=50K
49, HS-grad, Other-service, Black, Female,40, United-States, <=50K
36, 9th, Machine-op-inspct, White, Male,40, United-States, <=50K
47, Doctorate, Craft-repair, White, Male,50, United-States, <=50K
21, Some-college, Other-service, White, Male,40, United-States, <=50K
35, Bachelors, Prof-specialty, Asian-Pac-Islander, Female,40, Philippines, >50K
38, 1st-4th, Handlers-cleaners, White, Male,40, Mexico, <=50K
45, Masters, Exec-managerial, White, Male,50, United-States, >50K
19, Some-college, Other-service, White, Female,15, United-States, <=50K
18, HS-grad, Handlers-cleaners, White, Male,22, United-States, <=50K
37, Prof-school, Exec-managerial, White, Male,40, United-States, <=50K
49, Bachelors, Prof-specialty, White, Female,40, United-States, <=50K
33, Assoc-voc, Protective-serv, White, Male,48, United-States, >50K
27, Some-college, Sales, White, Male,40, United-States, >50K
34, Some-college, Adm-clerical, White, Female,35, United-States, <=50K
54, Masters, Prof-specialty, Asian-Pac-Islander, Female,40, China, <=50K
24, Some-college, Transport-moving, White, Male,40, United-States, <=50K
44, Prof-school, Prof-specialty, White, Male,60, United-States, >50K
48, Bachelors, Craft-repair, White, Male,50, United-States, <=50K
23, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
29, HS-grad, Other-service, White, Male,38, United-States, <=50K
21, Assoc-acdm, Other-service, White, Female,9, United-States, <=50K
18, 12th, Other-service, White, Female,32, United-States, <=50K
18, 9th, Sales, Other, Female,32, United-States, <=50K
29, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
29, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
41, HS-grad, Machine-op-inspct, Black, Female,40, United-States, <=50K
32, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
61, 10th, Other-service, Black, Female,24, United-States, <=50K
79, HS-grad, Prof-specialty, White, Male,6, United-States, <=50K
34, Assoc-acdm, Machine-op-inspct, White, Male,40, United-States, <=50K
46, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
50, Assoc-voc, Sales, White, Male,60, United-States, >50K
29, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
23, Some-college, Adm-clerical, White, Female,40, United-States, <=50K
64, Some-college, Adm-clerical, White, Female,40, United-States, <=50K
70, Masters, Prof-specialty, White, Female,50, United-States, >50K
28, Assoc-acdm, Adm-clerical, White, Female,40, United-States, <=50K
51, Assoc-voc, Handlers-cleaners, White, Male,40, Greece, <=50K
34, Bachelors, Prof-specialty, White, Male,55, United-States, <=50K
29, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
49, Bachelors, Other-service, Asian-Pac-Islander, Male,40, Philippines, <=50K
77, Some-college, Exec-managerial, White, Male,40, United-States, <=50K
32, HS-grad, Other-service, White, Female,35, United-States, <=50K
27, Bachelors, Tech-support, White, Female,40, United-States, >50K
22, Some-college, Sales, White, Female,40, United-States, <=50K
35, HS-grad, Craft-repair, White, Male,40, Cuba, >50K
42, Bachelors, Protective-serv, White, Male,40, United-States, >50K
35, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
33, HS-grad, Protective-serv, White, Male,16, United-States, <=50K
45, Some-college, Exec-managerial, White, Female,55, United-States, <=50K
19, Some-college, Sales, White, Female,40, United-States, <=50K
38, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
26, HS-grad, Machine-op-inspct, Black, Male,45, United-States, <=50K
29, Bachelors, Exec-managerial, White, Female,45, United-States, <=50K
33, Bachelors, Prof-specialty, White, Male,40, United-States, >50K
35, HS-grad, Farming-fishing, White, Male,80, Puerto-Rico, <=50K
42, Some-college, Craft-repair, White, Male,40, United-States, <=50K
20, Assoc-voc, Other-service, White, Female,20, United-States, <=50K
43, Masters, Prof-specialty, White, Male,40, United-States, >50K
69, 11th, Prof-specialty, Black, Male,45, United-States, <=50K
39, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
37, HS-grad, Machine-op-inspct, White, Male,40, Portugal, <=50K
28, Some-college, Craft-repair, White, Male,40, United-States, <=50K
26, Bachelors, Tech-support, White, Male,40, United-States, <=50K
32, Some-college, Sales, White, Male,30, United-States, <=50K
43, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
49, HS-grad, Exec-managerial, White, Male,30, Hungary, <=50K
28, 7th-8th, Other-service, White, Male,60, Mexico, <=50K
35, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
35, HS-grad, Craft-repair, White, Male,40, United-States, >50K
57, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
45, 9th, Transport-moving, White, Male,40, United-States, <=50K
23, HS-grad, Sales, White, Male,48, United-States, <=50K
45, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
42, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
35, Bachelors, Other-service, Asian-Pac-Islander, Male,40, Vietnam, <=50K
45, Bachelors, Prof-specialty, White, Male,50, United-States, >50K
28, Bachelors, Exec-managerial, White, Male,40, United-States, <=50K
64, Assoc-voc, Craft-repair, White, Male,10, United-States, <=50K
44, Prof-school, Prof-specialty, White, Female,40, United-States, <=50K
59, HS-grad, Farming-fishing, White, Male,40, United-States, >50K
41, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
21, Some-college, Sales, Black, Male,25, United-States, <=50K
29, Assoc-voc, Adm-clerical, White, Female,40, United-States, <=50K
51, HS-grad, Farming-fishing, White, Male,40, United-States, >50K
22, HS-grad, Adm-clerical, White, Male,40, United-States, <=50K
49, HS-grad, Other-service, White, Female,40, United-States, <=50K
53, Assoc-acdm, Sales, White, Male,80, United-States, >50K
38, Some-college, Adm-clerical, White, Female,44, United-States, <=50K
23, Some-college, Craft-repair, White, Male,40, United-States, <=50K
20, HS-grad, Other-service, White, Female,40, Mexico, <=50K
40, Bachelors, Craft-repair, White, Female,40, United-States, <=50K
25, Bachelors, Prof-specialty, White, Female,40, United-States, <=50K
27, Some-college, Tech-support, White, Female,40, United-States, <=50K
20, HS-grad, Other-service, White, Male,30, United-States, <=50K
37, HS-grad, Other-service, White, Female,20, United-States, <=50K
40, HS-grad, Other-service, White, Male,40, United-States, <=50K
28, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
38, HS-grad, Other-service, White, Female,40, United-States, <=50K
42, Bachelors, Exec-managerial, White, Female,40, United-States, <=50K
32, Assoc-acdm, Protective-serv, White, Male,40, United-States, <=50K
20, HS-grad, Sales, White, Male,45, United-States, <=50K
62, Bachelors, Adm-clerical, White, Male,38, United-States, <=50K
31, Some-college, Adm-clerical, White, Male,40, United-States, <=50K
31, HS-grad, Craft-repair, White, Male,60, United-States, <=50K
24, HS-grad, Adm-clerical, White, Male,40, United-States, <=50K
62, 7th-8th, Other-service, Black, Female,35, United-States, <=50K
43, Some-college, Craft-repair, White, Male,40, United-States, >50K
21, Some-college, Transport-moving, White, Male,50, United-States, <=50K
30, HS-grad, Exec-managerial, White, Male,40, United-States, <=50K
18, 10th, Handlers-cleaners, White, Male,40, United-States, <=50K
59, Masters, Prof-specialty, White, Female,40, United-States, <=50K
24, 7th-8th, Transport-moving, White, Male,40, United-States, >50K
49, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
19, 11th, Other-service, White, Male,30, United-States, <=50K
48, HS-grad, Machine-op-inspct, White, Male,40, United-States, >50K
32, Prof-school, Sales, White, Male,60, United-States, >50K
33, 10th, Machine-op-inspct, White, Female,45, United-States, <=50K
23, Bachelors, Sales, Black, Male,15, United-States, <=50K
33, Prof-school, Prof-specialty, White, Female,65, United-States, >50K
50, Some-college, Exec-managerial, White, Male,40, United-States, >50K
30, Bachelors, Exec-managerial, White, Male,43, United-States, <=50K
32, Assoc-acdm, Prof-specialty, White, Male,42, United-States, <=50K
39, Some-college, Sales, White, Male,65, United-States, <=50K
21, Some-college, Sales, White, Female,20, United-States, <=50K
23, Bachelors, Prof-specialty, White, Female,21, United-States, <=50K
32, Bachelors, Exec-managerial, White, Female,40, United-States, <=50K
57, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
22, Some-college, Prof-specialty, White, Male,10, United-States, <=50K
70, HS-grad, Adm-clerical, White, Female,5, United-States, <=50K
34, Some-college, Tech-support, White, Male,84, United-States, >50K
53, Masters, Sales, White, Female,40, United-States, <=50K
21, Some-college, Sales, White, Male,45, United-States, <=50K
37, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
60, HS-grad, Craft-repair, White, Male,50, United-States, >50K
23, 11th, Craft-repair, Asian-Pac-Islander, Male,40, Vietnam, >50K
32, 10th, Transport-moving, White, Male,80, United-States, >50K
57, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
25, Some-college, Adm-clerical, White, Male,30, United-States, <=50K
30, HS-grad, Craft-repair, White, Male,46, United-States, <=50K
31, HS-grad, Adm-clerical, White, Female,40, Germany, <=50K
19, Some-college, Other-service, White, Male,35, United-States, <=50K
23, Bachelors, Tech-support, White, Male,38, United-States, <=50K
44, HS-grad, Sales, White, Male,40, United-States, <=50K
42, Some-college, Machine-op-inspct, Black, Female,40, United-States, <=50K
34, 11th, Machine-op-inspct, White, Male,40, United-States, <=50K
32, HS-grad, Craft-repair, White, Male,40, United-States, >50K
25, Assoc-voc, Tech-support, Black, Female,40, United-States, <=50K
21, Some-college, Exec-managerial, White, Female,40, United-States, <=50K
31, HS-grad, Priv-house-serv, Black, Female,60, Jamaica, <=50K
36, Assoc-voc, Prof-specialty, White, Female,40, United-States, <=50K
49, Some-college, Craft-repair, White, Male,65, Poland, <=50K
44, Bachelors, Adm-clerical, White, Female,32, United-States, <=50K
42, Assoc-voc, Sales, White, Male,40, United-States, >50K
30, HS-grad, Protective-serv, White, Male,99, United-States, <=50K
33, 10th, Machine-op-inspct, White, Male,40, United-States, <=50K
36, Bachelors, Other-service, Black, Male,45, United-States, >50K
17, 10th, Other-service, White, Male,30, United-States, <=50K
20, Some-college, Sales, White, Male,25, United-States, <=50K
32, HS-grad, Craft-repair, White, Male,50, United-States, <=50K
33, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
37, Some-college, Exec-managerial, White, Female,60, United-States, <=50K
60, 10th, Farming-fishing, White, Male,48, United-States, <=50K
35, Some-college, Adm-clerical, White, Female,15, United-States, <=50K
43, Bachelors, Adm-clerical, White, Female,40, United-States, <=50K
46, Some-college, Tech-support, White, Male,40, United-States, >50K
29, HS-grad, Transport-moving, White, Male,40, United-States, >50K
36, Bachelors, Sales, White, Male,42, United-States, >50K
27, HS-grad, Craft-repair, White, Male,40, United-States, >50K
50, Some-college, Exec-managerial, White, Male,84, United-States, >50K
22, Some-college, Adm-clerical, Amer-Indian-Eskimo, Female,44, United-States, <=50K
33, Masters, Prof-specialty, White, Male,60, United-States, <=50K
61, 10th, Sales, White, Female,40, United-States, <=50K
41, Assoc-voc, Farming-fishing, White, Male,70, United-States, >50K
22, Some-college, Transport-moving, White, Male,40, United-States, <=50K
27, Bachelors, Prof-specialty, White, Female,40, United-States, <=50K
25, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
32, HS-grad, Machine-op-inspct, Black, Female,20, United-States, <=50K
28, Masters, Prof-specialty, White, Male,50, United-States, <=50K
25, Bachelors, Craft-repair, White, Male,35, United-States, <=50K
28, Some-college, Craft-repair, White, Male,40, United-States, <=50K
37, Bachelors, Prof-specialty, White, Female,30, United-States, >50K
58, HS-grad, Adm-clerical, White, Female,37, United-States, <=50K
39, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
33, Some-college, Other-service, White, Female,40, United-States, <=50K
59, 10th, Craft-repair, White, Male,40, United-States, >50K
58, Bachelors, Craft-repair, White, Female,20, United-States, <=50K
38, Assoc-voc, Prof-specialty, Asian-Pac-Islander, Male,36, Philippines, >50K
34, Some-college, Craft-repair, White, Male,40, United-States, <=50K
31, Some-college, Craft-repair, Black, Male,40, United-States, <=50K
48, HS-grad, Craft-repair, White, Male,40, United-States, >50K
45, HS-grad, Handlers-cleaners, White, Male,50, United-States, <=50K
23, HS-grad, Other-service, White, Female,40, United-States, <=50K
33, Masters, Prof-specialty, White, Male,37, United-States, >50K
38, Some-college, Farming-fishing, White, Male,40, United-States, <=50K
44, Masters, Farming-fishing, White, Male,40, United-States, >50K
48, Masters, Exec-managerial, Black, Female,40, United-States, >50K
40, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
19, HS-grad, Craft-repair, Black, Female,40, United-States, <=50K
45, Bachelors, Exec-managerial, White, Female,40, United-States, <=50K
34, Some-college, Prof-specialty, White, Female,40, United-States, <=50K
70, Some-college, Other-service, White, Male,80, United-States, <=50K
32, Masters, Prof-specialty, White, Male,60, United-States, <=50K
33, Assoc-voc, Other-service, White, Female,40, United-States, <=50K
24, Bachelors, Exec-managerial, White, Female,40, United-States, <=50K
30, Bachelors, Prof-specialty, White, Female,15, United-States, <=50K
22, Some-college, Sales, Black, Male,25, United-States, <=50K
52, Prof-school, Prof-specialty, Other, Male,65, United-States, >50K
67, 10th, Farming-fishing, White, Male,80, United-States, <=50K
40, HS-grad, Exec-managerial, White, Male,45, United-States, <=50K
